,newCasesByPublishDate,newDeathsByPublishDate,total_population_UK,cumDeathsByPublishDate,new_total_pop,percentage_new_case,percentage_new_death,MA_percentage_new_death,MA_percentage_new_case
2020/1/3,0,0,66796807,,,,,,
2020/1/4,0,0,66796807,,,,,,
2020/1/5,0,0,66796807,,,,,,
2020/1/6,0,0,66796807,,,,,,
2020/1/7,0,0,66796807,,,,,,
2020/1/8,0,0,66796807,,,,,,
2020/1/9,0,0,66796807,,,,,,
2020/1/10,0,0,66796807,,,,,,
2020/1/11,0,0,66796807,,,,,,
2020/1/12,0,0,66796807,,,,,,
2020/1/13,0,0,66796807,,,,,,
2020/1/14,0,0,66796807,,,,,,
2020/1/15,0,0,66796807,,,,,,
2020/1/16,0,0,66796807,,,,,,
2020/1/17,0,0,66796807,,,,,,
2020/1/18,0,0,66796807,,,,,,
2020/1/19,0,0,66796807,,,,,,
2020/1/20,0,0,66796807,,,,,,
2020/1/21,0,0,66796807,,,,,,
2020/1/22,0,0,66796807,,,,,,
2020/1/23,0,0,66796807,,,,,,
2020/1/24,0,0,66796807,,,,,,
2020/1/25,0,0,66796807,,,,,,
2020/1/26,0,0,66796807,,,,,,
2020/1/27,0,0,66796807,,,,,,
2020/1/28,0,0,66796807,,,,,,
2020/1/29,0,0,66796807,,,,,,
2020/1/30,0,0,66796807,,,,,,
2020/1/31,2,0,66796807,,,,,,
2020/2/1,0,0,66796807,,,,,,
2020/2/2,0,0,66796807,,,,,,
2020/2/3,0,0,66796807,,,,,,
2020/2/4,0,0,66796807,,,,,,
2020/2/5,0,0,66796807,,,,,,
2020/2/6,1,0,66796807,,,,,,
2020/2/7,0,0,66796807,,,,,,
2020/2/8,0,0,66796807,,,,,,
2020/2/9,1,0,66796807,,,,,,
2020/2/10,4,0,66796807,,,,,,
2020/2/11,0,0,66796807,,,,,,
2020/2/12,0,0,66796807,,,,,,
2020/2/13,1,0,66796807,,,,,,
2020/2/14,0,0,66796807,,,,,,
2020/2/15,0,0,66796807,,,,,,
2020/2/16,0,0,66796807,,,,,,
2020/2/17,0,0,66796807,,,,,,
2020/2/18,0,0,66796807,,,,,,
2020/2/19,0,0,66796807,,,,,,
2020/2/20,0,0,66796807,,,,,,
2020/2/21,0,0,66796807,,,,,,
2020/2/22,0,0,66796807,,,,,,
2020/2/23,0,0,66796807,,,,,,
2020/2/24,4,0,66796807,,,,,,
2020/2/25,0,0,66796807,,,,,,
2020/2/26,0,0,66796807,,,,,,
2020/2/27,0,0,66796807,,,,,,
2020/2/28,6,0,66796807,,,,,,
2020/2/29,4,0,66796807,,,,,,
2020/3/1,12,0,66796807,,,,,,
2020/3/2,5,0,66796807,,,,,,
2020/3/3,11,0,66796807,,,,,,
2020/3/4,34,0,66796807,,,,,,
2020/3/5,29,0,66796807,,,,,,
2020/3/6,46,1,66796807,1.0,66796806.0,6.886556821294719e-07,1.497077569846678e-08,,
2020/3/7,46,1,66796807,2.0,66796805.0,6.886556924391818e-07,1.497077592259091e-08,,
2020/3/8,65,0,66796807,2.0,66796805.0,9.73100434968409e-07,0.0,,
2020/3/9,50,1,66796807,3.0,66796804.0,7.485388073357522e-07,1.4970776146715044e-08,1.924814156050562e-08,1.018012814508861e-06
2020/3/10,52,4,66796807,7.0,66796800.0,7.784804062470058e-07,5.98831081728466e-08,1.9248141848665246e-08,1.36234071522264e-06
2020/3/11,83,0,66796807,7.0,66796800.0,1.2425744945865671e-06,0.0,5.560575607843918e-08,1.8285736793201078e-06
2020/3/12,134,2,66796807,9.0,66796798.0,2.0060841838556393e-06,2.994155498291999e-08,8.554732630181107e-08,2.3953249153041014e-06
2020/3/13,207,1,66796807,10.0,66796797.0,3.0989509871259247e-06,1.4970777715584178e-08,1.3045969841418602e-07,2.613470812320212e-06
2020/3/14,264,18,66796807,29.0,66796778.0,3.9522864411214566e-06,2.694740755310084e-07,1.561239260524489e-07,3.3727040539970638e-06
2020/3/15,330,14,66796807,43.0,66796764.0,4.940359086856363e-06,2.095909915636033e-07,2.2883924749169288e-07,4.640945096999414e-06
2020/3/16,152,22,66796807,65.0,66796742.0,2.275560086448528e-06,3.293573809333395e-07,3.208028153818764e-07,5.729537638758874e-06
