,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,5.0,1.0,1.0,3.0,7.0,1.0,4.0,5.0,2.0,3.0,4.0,6.0,9.0,6.0,8.0,15.0,13.0,11.0,11.0,8.0,20.0,30.0,14.0,22.0,12.0,14.0,28.0,28.0,28.0,36.0,32.0,26.0,29.0,25.0,33.0,40.0,27.0,37.0,25.0,21.0,38.0,41.0,28.0,32.0,28.0,26.0,25.0,25.0,24.0,30.0,20.0,33.0,20.0,17.0,23.0,30.0,18.0,13.0,18.0,19.0,11.0,9.0,13.0,17.0,13.0,8.0,6.0,6.0,6.0,10.0,8.0,4.0,6.0,9.0,3.0,7.0
2,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,1.0,2.0,6.0,3.0,5.0,5.0,4.0,2.0,2.0,5.0,7.0,5.0,16.0,5.0,5.0,7.0,9.0,9.0,15.0,15.0,24.0,12.0,23.0,21.0,17.0,24.0,35.0,23.0,33.0,25.0,24.0,17.0,27.0,35.0,36.0,23.0,42.0,35.0,32.0,30.0,30.0,23.0,38.0,26.0,22.0,24.0,26.0,20.0,14.0,14.0,17.0,22.0,18.0,10.0,16.0,20.0,11.0,10.0,12.0,8.0,17.0,6.0,8.0,6.0,6.0,3.0,7.0,5.0,5.0,5.0,6.0,4.0,4.0,4.0
3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,4.0,1.0,5.0,5.0,7.0,4.0,5.0,6.0,11.0,10.0,5.0,8.0,11.0,14.0,11.0,17.0,24.0,18.0,18.0,31.0,22.0,23.0,33.0,36.0,29.0,26.0,15.0,30.0,27.0,26.0,42.0,31.0,24.0,34.0,33.0,20.0,27.0,27.0,26.0,32.0,28.0,26.0,27.0,20.0,26.0,32.0,21.0,15.0,31.0,18.0,16.0,19.0,12.0,16.0,11.0,11.0,7.0,7.0,10.0,16.0,6.0,6.0,7.0,4.0,5.0
4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,1.0,3.0,1.0,4.0,6.0,4.0,9.0,5.0,10.0,12.0,15.0,15.0,16.0,20.0,17.0,24.0,18.0,22.0,26.0,29.0,34.0,36.0,29.0,37.0,43.0,44.0,49.0,46.0,44.0,53.0,38.0,43.0,34.0,33.0,23.0,30.0,19.0,26.0,15.0,21.0,28.0,19.0,17.0,24.0,16.0,21.0,12.0,21.0,12.0,6.0,10.0,11.0,5.0,9.0,8.0,8.0,11.0,8.0,7.0,11.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,5.0,1.0,6.0,3.0,1.0,1.0,2.0
5,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,0.0,2.0,7.0,1.0,0.0,2.0,6.0,5.0,6.0,7.0,1.0,3.0,5.0,6.0,4.0,5.0,6.0,8.0,9.0,8.0,7.0,13.0,11.0,11.0,11.0,26.0,16.0,26.0,36.0,31.0,28.0,40.0,45.0,35.0,24.0,27.0,29.0,31.0,25.0,34.0,26.0,32.0,27.0,27.0,25.0,23.0,28.0,31.0,22.0,24.0,21.0,23.0,14.0,19.0,16.0,16.0,12.0,18.0,13.0,13.0,19.0,17.0,18.0,15.0,10.0,8.0,7.0,9.0,7.0,4.0,3.0,8.0
6,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,6.0,2.0,4.0,2.0,5.0,5.0,8.0,6.0,10.0,6.0,6.0,11.0,13.0,7.0,9.0,14.0,27.0,14.0,20.0,26.0,17.0,24.0,29.0,25.0,26.0,32.0,26.0,30.0,22.0,27.0,33.0,34.0,48.0,31.0,24.0,33.0,33.0,39.0,28.0,29.0,18.0,30.0,28.0,24.0,20.0,16.0,30.0,20.0,14.0,23.0,31.0,25.0,24.0,21.0,13.0,13.0,21.0,19.0,10.0,7.0,18.0,10.0,2.0,9.0,8.0,9.0,8.0,8.0,5.0,3.0,4.0,4.0,5.0,9.0
7,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,3.0,4.0,0.0,4.0,3.0,6.0,3.0,8.0,3.0,6.0,11.0,4.0,10.0,10.0,16.0,20.0,21.0,16.0,26.0,32.0,17.0,27.0,21.0,27.0,34.0,29.0,35.0,25.0,32.0,48.0,43.0,47.0,48.0,44.0,34.0,35.0,32.0,36.0,30.0,26.0,22.0,18.0,19.0,26.0,22.0,24.0,27.0,13.0,18.0,17.0,16.0,19.0,6.0,6.0,15.0,7.0,6.0,6.0,13.0,5.0,11.0,11.0,9.0,5.0,9.0,15.0,7.0,8.0,3.0,4.0,5.0,2.0,6.0
8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,5.0,6.0,4.0,4.0,7.0,9.0,8.0,12.0,8.0,12.0,12.0,12.0,19.0,22.0,25.0,21.0,26.0,20.0,35.0,34.0,31.0,33.0,29.0,38.0,45.0,34.0,38.0,33.0,42.0,27.0,29.0,33.0,36.0,43.0,26.0,22.0,24.0,16.0,21.0,20.0,24.0,19.0,18.0,16.0,13.0,20.0,20.0,15.0,11.0,7.0,13.0,10.0,13.0,12.0,13.0,8.0,7.0
9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,2.0,4.0,2.0,2.0,7.0,3.0,6.0,6.0,5.0,7.0,9.0,15.0,12.0,6.0,12.0,18.0,11.0,17.0,17.0,17.0,20.0,16.0,24.0,21.0,26.0,27.0,25.0,26.0,25.0,21.0,30.0,31.0,33.0,36.0,27.0,37.0,44.0,26.0,47.0,32.0,21.0,27.0,27.0,28.0,32.0,27.0,24.0,15.0,22.0,20.0,23.0,19.0,18.0,19.0,9.0,10.0,16.0,13.0,13.0,9.0,14.0,6.0,10.0,10.0,9.0,9.0,7.0,8.0,3.0,8.0,8.0,5.0,3.0,8.0
